2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Clay Electric Cooperative, Inc;FL;Cooperative;21.956;685.608;85.532,0;12,48
Duke Energy Florida, LLC;FL;Investor Owned;211.280;15.496.240;1.767.747,7;11,41
Florida Keys El Coop Assn, Inc;FL;Cooperative;5.278;108.524;16.279,0;15,00
Florida Power & Light Co;FL;Investor Owned;645.975;52.436.896;5.698.431,1;10,87
Florida Public Utilities Co;FL;Investor Owned;4.452;310.794;40.161,0;12,92
Fort Pierce Utilities Authority;FL;Municipal;5.204;323.340;48.197,0;14,91
Gainesville Regional Utilities;FL;Municipal;11.288;777.737;148.316,5;19,07
Glades Electric Coop, Inc;FL;Cooperative;3.530;39.362;8.682,0;22,06
Greenbacker Renewable Energy Corporation;FL;Behind the Meter;1;500;97,5;19,50
Greenskies Renewable Energy, LLC;FL;Behind the Meter;1;1.369;397,0;29,00
Gulf Coast Electric Coop, Inc;FL;Cooperative;1.498;69.786;8.763,3;12,56
JEA;FL;Municipal;59.073;4.056.387;508.443,4;12,53
Kissimmee Utility Authority;FL;Municipal;11.127;564.894;74.971,3;13,27
Lee County Electric Coop, Inc;FL;Cooperative;22.227;1.256.725;148.832,2;11,84
Longroad Energy;FL;Behind the Meter;1;282;79,2;28,09
New Smyrna Beach City of;FL;Municipal;3.549;55.940;6.282,0;11,23
Okefenoke Rural El Member Corp;FL;Cooperative;560;14.749;1.943,8;13,18
Orlando Utilities Comm;FL;Municipal;33.115;4.233.510;475.858,7;11,24
Peace River Electric Coop, Inc;FL;Cooperative;9.675;341.664;42.332,0;12,39
Reedy Creek Improvement Dist;FL;Municipal;1.520;1.159.963;104.700,0;9,03
Sumter Electric Coop, Inc;FL;Cooperative;19.133;250.578;40.471,0;16,15
Suwannee Valley Elec Coop Inc;FL;Cooperative;3.473;113.698;15.184,0;13,35
Talquin Electric Coop, Inc;FL;Cooperative;3.317;169.324;20.182,1;11,92
Tampa Electric Co;FL;Investor Owned;89.076;8.246.770;881.594,5;10,69
TerraForm US Energy Services, LLC;FL;Behind the Meter;3;785;206,0;26,24
Tesla Inc.;FL;Behind the Meter;267;2.594;339,0;13,07
Tri-County Electric Coop, Inc (FL);FL;Cooperative;1.616;58.237;8.761,4;15,04
Utility Board of the City of Key West, F;FL;Municipal;4.711;351.903;66.055,0;18,77
West Florida El Coop Assn, Inc;FL;Cooperative;3.472;70.997;10.182,2;14,34
Withlacoochee River Elec Coop;FL;Cooperative;24.037;1.106.226;119.870,3;10,84
Albany Utility Board;GA;Municipal;4.134;520.360;50.670,7;9,74
Altamaha Electric Member Corp;GA;Cooperative;1.905;283.514;23.073,0;8,14
Amicalola Electric Member Corp;GA;Cooperative;5.821;122.842;16.467,5;13,41
Blue Ridge Mountain EMC - (GA);GA;Cooperative;7.912;158.393;25.478,0;16,09
Canoochee Electric Member Corp;GA;Cooperative;410;89.602;7.357,7;8,21
Carroll Electric Member Corp - (GA);GA;Cooperative;2.998;135.474;16.782,0;12,39
Central Georgia El Member Corp;GA;Cooperative;5.781;196.235;21.457,0;10,93
City of Buford;GA;Municipal;991;73.920;9.772,1;13,22
City of Calhoun - (GA);GA;Municipal;1.214;72.135;10.146,4;14,07
City of Cartersville - (GA);GA;Municipal;1.457;249.506;26.318,0;10,55
City of Chattanooga - (TN);GA;Municipal;1.188;45.717;6.097,0;13,34
City of Chickamauga;GA;Municipal;148;13.130;1.640,0;12,49
City of College Park - (GA);GA;Municipal;992;194.792;24.462,3;12,56
City of Covington - (GA);GA;Municipal;1.952;134.388;16.287,1;12,12
City of Douglas;GA;Municipal;1.721;226.084;24.217,5;10,71
City of East Point - (GA);GA;Municipal;1.530;290.823;22.435,6;7,71
