2022 Utility Bundled Retail Sales- Industrial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
South Central Indiana REMC;IN;Cooperative;10;79.142;7.044,0;8,90
Southeastern Indiana R E M C;IN;Cooperative;10;93.872;7.514,0;8,00
Southern Indiana Gas & Elec Co;IN;Investor Owned;114;1.967.271;169.739,6;8,63
Southern Indiana R E C, Inc;IN;Cooperative;32;310.104;26.458,0;8,53
Tipmont Rural Elec Member Corp;IN;Cooperative;5;99.517;8.161,6;8,20
Utilities Dist-Western IN REMC;IN;Cooperative;17;38.704;3.511,1;9,07
Western Indiana Energy REMC;IN;Cooperative;39;315.320;27.920,5;8,85
Whitewater Valley Rural EMC;IN;Cooperative;7;44.926;3.664,0;8,16
Alfalfa Electric Coop, Inc;KS;Cooperative;7;9.489;963,0;10,15
CMS Electric Coop Inc;KS;Cooperative;86;99.846;9.150,9;9,17
City of Chanute;KS;Municipal;90;195.982;14.781,0;7,54
City of Coffeyville - (KS);KS;Municipal;10;616.227;44.473,8;7,22
City of Garden City;KS;Municipal;419;127.000;11.947,0;9,41
City of Kansas City - (KS);KS;Municipal;82;531.350;51.343,0;9,66
City of McPherson - (KS);KS;Municipal;19;872.152;49.246,3;5,65
City of Winfield - (KS);KS;Municipal;10;133.275;8.564,0;6,43
Empire District Electric Co;KS;Investor Owned;43;60.363;6.497,7;10,76
Evergy Kansas Central, Inc;KS;Investor Owned;1.166;2.049.707;187.361,1;9,14
Evergy Kansas South, Inc;KS;Investor Owned;3.193;3.608.580;277.290,9;7,68
Evergy Metro;KS;Investor Owned;854;255.804;24.985,4;9,77
FreeState Electric Coop;KS;Cooperative;10;22.975;2.126,0;9,25
Midwest Energy Inc;KS;Cooperative;7.095;793.088;68.083,9;8,58
