2022 Utility Bundled Retail Sales- Residential;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
City of Ames - (IA);IA;Municipal;24.889;180.795;21.208,0;11,73
City of Independence - (IA);IA;Municipal;2.719;23.119;3.164,3;13,69
City of Maquoketa - (IA);IA;Municipal;2.807;24.941;3.243,5;13,00
City of Preston;IA;Municipal;507;3.832;570,8;14,90
Consumers Energy;IA;Cooperative;6.615;88.579;12.935,0;14,60
East-Central Iowa Rural Elec Coop;IA;Cooperative;8.000;139.574;15.989,0;11,46
Eastern Iowa Light & Power Coop;IA;Cooperative;20.955;301.356;40.294,9;13,37
Federated Rural Electric Assn;IA;Cooperative;53;946;102,0;10,78
Freeborn Mower Electric Cooperative;IA;Cooperative;6;120;16,0;13,33
Heartland Power Coop;IA;Cooperative;4.339;87.884;10.741,1;12,22
Interstate Power and Light Co;IA;Investor Owned;412.497;3.792.663;673.265,0;17,75
Iowa Lakes Electric Coop;IA;Cooperative;9.592;184.628;22.558,9;12,22
Linn County REC;IA;Cooperative;28.721;314.181;40.007,0;12,73
Maquoketa Valley Rrl Elec Coop;IA;Cooperative;10.807;146.956;18.401,9;12,52
MiEnergy Cooperative;IA;Cooperative;5.970;76.032;11.862,7;15,60
MidAmerican Energy Co;IA;Investor Owned;618.886;6.292.473;692.489,1;11,01
Midland Power Coop;IA;Cooperative;11.683;217.984;27.457,0;12,60
North West Rural Electric Coop;IA;Cooperative;9.262;267.162;22.798,8;8,53
